,word,definition
947,gyεxegyeue,this yam has yielded very small fruit gba an auxiliary verb in dicating that the main action iIs done by several subjects to gether ifa gbaɽu εe they are doing it together g i a gbapu εe let us do it together gba to tie ↄgba B obↄ text only n ↄgwi w ifε Doↄ osEe h oo the litigant said he had awitness n ↄgu ῦa gwi he who quarrels with a man plaintiff n ↄti ↄῦa εↄ n agu gwi quarrelled defendant accused v n ati εɽ ε ↄ idiom gwi e z uw unu he is stating case of inside of mouth he with whom is he tied my hands gba gina to tie to igb ab enwan xεrhε ni gina ɽ egbe have tied the branch of that young oil palm xerhe to its body Also gba mu J gb ogba to make a fence a round something terat gbaloↄ i used with plural objects but in dgbal s obↄ it means he tied my hand several times round i c he bandaged my hand to stick together cf gha
948,gha,thoroughly of people only igba re ↄ a esi noO I know him thoroughly that he is a good man to be complete exa be n idu ikotu na gha na l o the chiefs attending this court are complete
949,gba,interjection used calling dogs same as sss
950,gbaa,level used with the verb in
951,ye,wide broad of bigger things than gbadaa e g of a river or pond cf gbodoo
952,gbadaa,wide broad used e g of a basin ↄvee ghadaa it is broad cf gbadaa
953,gbaghaagba,they became close friends texts Uke kevearhuapo rigid stiff ↄye gbagbaagba it isstiff sameasεgi avoxo it cannot be bent
954,gbayada,als c gbaɽa ada describes the fall of something having extremities e c the human body when thrown down in wrestling mu ε gb otↄ gbaraɣada throw him down gb as an encourage ment to wrestlers also ya gbe gbaraɣadal
955,gbakagbaka,big thick of plantains and teeth ↄ εdε na ye
956,gbakagbaka,wide used with the verb ye of ditches pits ponds and rivers indicates a stil wider degree than gbodoo l to know somebody gbe I to hit to flog to kill v also gbe ɽua Iterat abele Js agbel ifa hia and ↄgbel ifa hi a he killed them all to per form something esp a dance to dance to pick leaves from a tree to catch of a trap This verb is also used for various purposes its exact meaning being determined by a following noun or verb Ex amples of combinations with verbs gbe gin ots to hit against the ground e g when killing a snake and also in the meaning of to insult somebody who isill and in bed c agbegi
957,notↄ,miε lLit to hit and take something from somebody to seize something by force o gbe t miε oεre he seized it from me by force gbe mu ot to ruin somebody
958,gbe,ɽrua to kill gbe
959,yo,gbe re to turn OvVer and over to fumble d n eli yo gb εe re mada N he handled the thing fo and fro but he did not buy it the syllable gb εe is actually a fall not a low tone this could however not be shown here imafε v ↄgQua yagb en veε yo gb Qe re v eva I I don t know what he is talk ing about he is turning the matter over and ovwer there i e he is not talking to the point Combinations with nouns gb
960,akiyεyε,to make fun of somebody ya ivaLe gb
961,akiyeyε,I made fun of him or made a fool of him v gb iba gb akpa to be bald gb alama to valk about gossiping to interfere ugb alama gbe xari eke n nriz you gossp too much go towhere you are going or mu aɽ u L od ↄ w e L turn your face there get out v mi arale I gb aɽo xɣe to look after agb aɽo ɣe E he is look ing after me okpia na m obo gua gb aɽo ɣ e i n arhie nεf thie ῦe this man knows wvery well how to look after things given to him to keep gbe asa to whip ↄgb εv asa he whip ped him gb ebibi to dazzle onwe gb ebibi y ῦ aɽo v izeɣ ε e the sun dazzled my eyes when I had looked at it for some time gb edae y uhuῦu to malke a charm on the head to make a charm with beads that is tied to one s hair or applied to the beads it ensures long life used by the chief Esj gba gb eh to fish df igbehε ↄgbehε gb erh
962,erhε,to fell a tree by setting fire to it gb esa I abs la D to take somebody s side in a dispute without being concerned oneself agbh esa I ab lel Te he took his side and bowed him cf igbesa gb i na to sacrifice something to a god igh ei n ε ivi I KkLilled something for a juju gh exaxa to make a sign gb εbε to play the εbε state sword this is done by chiefs when saluting the dba at festivals ugie gb εhii pf to bg be hollowed out by some insect and thus made useless of corn and beans ↄka na gb εhu εyi gi are sokpa maxii ee n XIX hih al this corn is useless it is no longer edible unless we strip it off for the chickens gb εte to shoot at a target to have a shooting contest gi ayagb εte let us go and shoot at the target gb s εho S ho to let out something that was meant to be secret cf
963,ↄgbεveho,to make fun of a man ya gb iba v gb akiyεyε gb ogiε ↄy egb εɽe gb iba be is making fun of himself gb igiagia tostamp with the feet and clap hands to spur on and accompany masquerade dancers vw Jvia gb igiawε to step sgb igiawe lele o E L he marched behind me cf giεf owe gb iguma to pant grunt e g when carrying a heavy load ihe n ↄmu xua ɽe gbe t ↄɣigh iguma v ↄl oke la LONALLT the load he has taken i e he carries is too heavy for him he is panting climbing passing the hill gb igho to spin a top gb
964,iro,to ask pose a riddle for somebody na smu iro n igbe nε he guessed the riddle I asked him gb irhu to give shade gb ixiav to pound ocro gb it to make a rough clearing in the bush e c for a telegraph line v fie for farming purposes in volves a much more thorough clearing gb iyare to welcome in triumph a warrior returning from a war gb izε to form bake an izf gr rice cake round or oval ing mould gb ize me dε bake a rice cake for me to buw v ma gb obodo to pirouette gb obↄ y ↄbotidi to have an un lucky hand in handling some thing gbe oda to kick sgbe oda he kicked me man horse or cow gb ogiε to make fun to make fun of va gb ogiε v gb
965,akiyεyε,to bore a hole gb oki to perform oki also fi oki gb oroɣ o to spread mud on a timber track gb osiko to notch timber gb otↄ down Lt hit ground is used as second part of verbal combinations e g in erha ni de gb otↄ that tree fell down iɽa fi erha gb ot they cut trees down gb oxoxo giε b to burst with laughter lit to hit with one s knuckles and laugh gb ↄfb to become wet to be wet ukp oeD na gb ↄfↄ this my cloth is has become wet gb ↄkan abe to have a serious quarrel with some body idiomatic gb ↄrho to be muddy gb ↄvo to be jealous ↄgb ↄwo Te she is jealous of me gbe ↄvo to make somebody jealous edi n ufu nεD gbe ↄvo what you have done for her makes me jealous gb ubi to slap ↄgb ubi y ↄ ɽo he slapped my face gb ubi IR to make bholes for yam sticks with the pointed stick ubi gb ugbo to do farm work as one s occupation to be a farmer gb ugb ogi erha to play a certain children s game which consists in guessing things that are known to a few of the players only gb uke tostamp ones feet as in a special kind of dance uke ↄgbe na ɽa is he stamping uke there The na is used when the speaker can see the man gb umε to rub oneself with camwood which dyes the skin red this is e g done by the women members of
966,dwahε,at the ikpol ki festival and by men at the agwe new yam festival at the guae ↄ pb um ε n sxwahe she has rubbed herself with camwood for dxwahef gb uzε bu todance the UzEbu dance gbe is also used with the names of other dances e g gb akaba or gb ukpukpε to dance a war dance gbe a verb indicating that an action is performed intensively or extensively or that a certain state exists to a high degree much well always fol lowing the mainverb gw ob ifa
967,ghe,wε he is much well acquainted with them sgw ob ifa gbe sOme thing like he is always in their company The verbal character of gbe is shown by the different intonation in these two forms the Pf and ipf gbe x to be rotten aɽabe na gbe this meat is rotten so that only parts of it are eatable ↄgbe also means something like it is gone in the case of something that one takes without intending to return it e g from a debtor gbe to break of day εdε gbe day is breaking this sen tenceis als used as a name
968,gbe,r to cross to pass in
969,gbe,ra ↄgbe ra xiad v imi ↄε n owiε he was passing along when I saw him this morning gbe ra n ugεyɣive oε pass with out looking at me Also be sides ↄs ifa eha n ir eva gbe ra ve se there were three of them there besides him lit it reached them three Also used as second verb in verbal combinations imparting a motion across some thing mu vi to bar by putting something in across the way e g a to show that a certain plot has been chosen for clearing a farm it is done by putting two crossed planks on a small round cleared spot in the bush b to debar access to one s wife by using a medicine certain uudu n aya gbh oxuo medicine taken to cross a woman
970,gbe,odε to bar the road to bar one s way or plan uhudu n ↄgie re e B od eῦi n iteracu ɽe h the message which he w prevented me from doing the thing that was going to do to day gb
971,otae,xε to bar ground wait to put poison efua into somebody s path in order that he may contract a disease etc ↄgb otↄe x ↄɽe he poisoned the ground waited for r I him he put poison in his path fi x ε
972,gbε,x to cut off gb ifudvul he is cutting grass igb ↄε I cleaned it e g a coconut from the surrounding fibres to carve with an agbε agb ivi he is carving a coco nut to write in gb be lit to write leaf to write a book Ietter etc ↄgh be gil e he wrote to me do
973,ↄgbεbe,orhue to mark with chalk infants are marked with chalk from a few days after their birth up to the age of about seven months Iterat gb nε to mark the face with tattooings
974,gbi,to be blunt of a knife erm na gbi n uyalb ere O this knife is blunt so that you should go and sharpen it and come abε na feko gbi wε kwelo e yi this knife is getting blunt have you really sharpened it
975,gbidii,describes the sound of something heavy falling into water also that of a bather jumping flat into water w
976,gbividi,gbigbi to spread a rumour ita gbigbi ↄta ni xida lit they are spreading that story along cf ogbighi
977,gbigbigbi,describes a strong wind or a tornado the rushing of a river and knocking at the door oↄhoho gbigbighi there is a strong wind blowing
978,gbiɣidi,describes the sound of long but not heavy objects e firewood falling to the ground also that of a wrestler being dropped down by his partner ↄde gbi idi it fell e e the firewood w ghidii
979,gbimm,describes the sound of a gun going off in a room e g by accident gbina to fight way εgbina L D J don t you pl fight agw Tε gbina he fought with me cf ugbinave
980,ighbina,to wage war stronger than gbina gbina to seek shelter with somebody igbina a I seek shelter with you gb icudu cf gbε l
